inventor_id,partner_list,partner_count,deg_centrality,close_centrality,bet_centrality,page_rank,GMI1yr_prevexpabroad
5137912-1,"['5262421-1', '5594033-3']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
5262421-1,"['5594033-3', '5137912-1']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
5594033-3,"['5262421-1', '5137912-1']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
5360927-1,"['5360927-2', '4845222-3']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
5360927-2,"['4845222-3', '5360927-1']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
4845222-3,"['5360927-2', '5360927-1']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
5436363-1,"['5436363-2', '5436363-3']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
5436363-2,"['5436363-1', '5436363-3']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
5436363-3,"['5436363-1', '5436363-2']",2,0.023255813953488372,0.023255813953488372,0.0,0.012406947890818837,0
5591883-1,"['5591883-3', '5591883-4', '5591883-2']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
5591883-2,"['5591883-4', '5591883-3', '5591883-1']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
5591883-3,"['5591883-4', '5591883-1', '5591883-2']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
5591883-4,"['5591883-3', '5591883-1', '5591883-2']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
5426250-4,"['5426250-1', '5426250-2', '4866179-2']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
5426250-1,"['5426250-2', '4866179-2', '5426250-4']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
5426250-2,"['5426250-1', '4866179-2', '5426250-4']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
4866179-2,"['5426250-1', '5426250-2', '5426250-4']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
5011762-2,['5356564-1'],1,0.011627906976744186,0.020930232558139535,0.0,0.00729471354759122,0
