,patent_id,inventor_id,GMI1yr_prevexpabroad,inventor_iso2,cpc_id,location_id,assigneeid,time
14255141,9734451,6046998-2,0,IN,G06N,gby60ol0g4jd,297362.0,2014/5/1
14255144,9734451,9607273-2,0,IN,G06N,6px9udpql3mx,297362.0,2014/5/1
14010424,9645703,9513764-3,0,IN,G06N,ro1y18ekr3rb,189347.0,2014/5/14
14010423,9645703,9513764-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2014/5/14
14010422,9645703,9418566-3,0,IN,G06N,gby60ol0g4jd,189347.0,2014/5/14
14010421,9645703,9311295-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2014/5/14
14010420,9645703,7822756-2,0,IN,G06N,ro1y18ekr3rb,189347.0,2014/5/14
13533771,9471876,7509519-3,0,IN,G06N,gby60ol0g4jd,49742.0,2014/5/9
13533772,9471876,8429165-3,0,IN,G06N,gby60ol0g4jd,49742.0,2014/5/9
13533773,9471876,9262502-1,0,IN,G06N,lnfy7ldpzvmk,49742.0,2014/5/9
13533774,9471876,9471876-1,0,IN,G06N,gby60ol0g4jd,49742.0,2014/5/9
12847401,9218565,9218565-1,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/19
12847400,9218565,9043230-1,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/19
12847399,9218565,8286074-1,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/19
13710179,9536192,9530093-1,0,IN,G06N,u3nw8bgtxuas,189347.0,2014/6/23
13710178,9536192,7531169-1,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/23
14291019,9747555,8229929-4,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/5
14291017,9747555,6754651-3,0,IN,G06N,24n934aekjoa,189347.0,2014/6/5
14291015,9747555,6341287-2,0,IN,G06N,24n934aekjoa,189347.0,2014/6/5
14291016,9747555,6687702-2,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/5
14291018,9747555,7895149-1,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/5
13133106,9324031,8826092-3,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/9
13133105,9324031,6772250-2,0,IN,G06N,gby60ol0g4jd,189347.0,2014/6/9
14328059,9760836,9646253-3,0,IN,G06N,7ixjd61vypsi,365650.0,2014/9/15
14328058,9760836,8533167-2,0,IN,G06N,7ixjd61vypsi,365650.0,2014/9/15
14328057,9760836,8533167-1,0,IN,G06N,7ixjd61vypsi,365650.0,2014/9/15
13265918,9373090,7219279-3,0,IN,G06N,24n934aekjoa,189347.0,2014/9/16
13265919,9373090,7548919-1,0,IN,G06N,24n934aekjoa,189347.0,2014/9/16
13265920,9373090,8176412-3,0,IN,G06N,2w5mf75onn8h,189347.0,2014/9/16
13421737,9430557,9330084-3,0,IN,G06N,2w5mf75onn8h,189347.0,2014/9/17
13518511,9466033,8019837-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/1/12
13518510,9466033,7724918-2,0,IN,G06N,24n934aekjoa,189347.0,2015/1/12
501990,10181102,10181102-2,0,IN,G06N,gby60ol0g4jd,190103.0,2015/1/22
501989,10181102,10181102-1,0,IN,G06N,gby60ol0g4jd,190103.0,2015/1/22
13742291,9547825,9309862-2,0,IN,G06N,ro1y18ekr3rb,393421.0,2015/1/6
13742290,9547825,8973659-3,0,IN,G06N,xeyi5glmnjny,393421.0,2015/1/6
923831,10332030,8209273-3,0,IN,G06N,nwn4yi825kde,190103.0,2015/10/17
923832,10332030,9001276-5,0,IN,G06N,7ixjd61vypsi,190103.0,2015/10/17
923829,10332030,10332030-3,0,IN,G06N,1bqus0uyw8x5,190103.0,2015/10/17
923830,10332030,6529481-2,0,IN,G06N,1bqus0uyw8x5,190103.0,2015/10/17
434823,10157351,7895149-1,0,IN,G06N,gby60ol0g4jd,19559.0,2015/10/20
434822,10157351,5708796-2,0,IN,G06N,gby60ol0g4jd,19559.0,2015/10/20
434821,10157351,10089675-2,0,IN,G06N,ss2htg3c5ij3,19559.0,2015/10/20
434824,10157351,8751618-1,0,IN,G06N,gby60ol0g4jd,19559.0,2015/10/20
923777,10332012,10332012-1,0,IN,G06N,gby60ol0g4jd,34613.0,2015/10/8
13693470,9530092,9043230-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/11/10
13693469,9530092,8286074-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/11/10
13693471,9530092,9218565-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/11/10
14011972,9646250,9501565-2,0,IN,G06N,gby60ol0g4jd,189347.0,2015/11/17
14011973,9646250,9646250-2,0,IN,G06N,gby60ol0g4jd,189347.0,2015/11/17
14011975,9646250,9646250-4,0,IN,G06N,gby60ol0g4jd,189347.0,2015/11/17
747286,10268961,8683433-1,0,IN,G06N,gby60ol0g4jd,34613.0,2015/11/24
747287,10268961,9740462-3,0,IN,G06N,gby60ol0g4jd,34613.0,2015/11/24
14841644,9946437,9582264-1,0,IN,G06N,8vy6qzqa9wum,189347.0,2015/11/5
14841645,9946437,9946437-4,0,IN,G06N,gby60ol0g4jd,189347.0,2015/11/5
14841643,9946437,9208065-1,0,IN,G06N,6k3pgvchllz8,189347.0,2015/11/5
1302913,10467547,5708796-2,0,IN,G06N,gby60ol0g4jd,19559.0,2015/11/8
1101468,10395177,10395177-2,0,IN,G06N,gby60ol0g4jd,233859.0,2015/12/10
1421686,10510007,10510007-2,0,IN,G06N,7ixjd61vypsi,190103.0,2015/12/15
1421687,10510007,9117030-1,0,IN,G06N,lnfy7ldpzvmk,190103.0,2015/12/15
965159,10346749,9928106-2,0,IN,G06N,gby60ol0g4jd,355180.0,2015/12/21
965160,10346749,9928106-3,0,IN,G06N,gby60ol0g4jd,355180.0,2015/12/21
965157,10346749,5512131-1,0,IN,G06N,gqn70evobw4f,355180.0,2015/12/21
965158,10346749,9727778-3,0,IN,G06N,gby60ol0g4jd,355180.0,2015/12/21
1302870,10467533,10467533-7,0,IN,G06N,u3nw8bgtxuas,190103.0,2015/12/29
1302872,10467533,8291403-4,0,IN,G06N,gby60ol0g4jd,190103.0,2015/12/29
1302869,10467533,10467533-6,0,IN,G06N,gby60ol0g4jd,190103.0,2015/12/29
1302868,10467533,10467533-5,0,IN,G06N,gby60ol0g4jd,190103.0,2015/12/29
904781,10325217,6614808-1,0,IN,G06N,gby60ol0g4jd,248438.0,2015/2/10
904780,10325217,6511268-3,0,IN,G06N,gby60ol0g4jd,248438.0,2015/2/10
14309641,9754216,7895149-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/2/4
14309640,9754216,6754651-3,0,IN,G06N,24n934aekjoa,189347.0,2015/2/4
14309639,9754216,6687702-2,0,IN,G06N,gby60ol0g4jd,189347.0,2015/2/4
14309638,9754216,6341287-2,0,IN,G06N,24n934aekjoa,189347.0,2015/2/4
14309642,9754216,8229929-4,0,IN,G06N,gby60ol0g4jd,189347.0,2015/2/4
450797,10163062,9996067-1,0,IN,G06N,n3k1emw6ahdu,413357.0,2015/3/13
450796,10163062,7076748-3,0,IN,G06N,qysnmpoqqa73,413357.0,2015/3/13
14553878,9842301,9449221-1,0,IN,G06N,30g9edu1ejnc,355180.0,2015/3/20
904765,10325212,10325212-2,0,IN,G06N,73fd44dv0c5r,44217.0,2015/3/24
904764,10325212,10325212-1,0,IN,G06N,jq5sikpot4ql,44217.0,2015/3/24
434815,10157350,10157350-1,0,IN,G06N,2h07h9yewbxv,190103.0,2015/3/26
434816,10157350,10157350-2,0,IN,G06N,2h07h9yewbxv,190103.0,2015/3/26
434817,10157350,10157350-3,0,IN,G06N,2h07h9yewbxv,190103.0,2015/3/26
434814,10157350,10019538-3,0,IN,G06N,2h07h9yewbxv,190103.0,2015/3/26
434818,10157350,10157350-4,0,IN,G06N,2h07h9yewbxv,190103.0,2015/3/26
434820,10157350,9633403-2,0,IN,G06N,lnfy7ldpzvmk,190103.0,2015/3/26
434819,10157350,10157350-5,0,IN,G06N,lnfy7ldpzvmk,190103.0,2015/3/26
14118311,9684876,9330084-3,0,IN,G06N,2w5mf75onn8h,189347.0,2015/3/30
14118309,9684876,7791466-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/3/30
14118310,9684876,8219440-8,0,IN,G06N,gby60ol0g4jd,189347.0,2015/3/30
14118312,9684876,9684876-4,0,IN,G06N,gby60ol0g4jd,189347.0,2015/3/30
13421739,9430558,9330084-3,0,IN,G06N,2w5mf75onn8h,189347.0,2015/4/8
1059989,10380498,10073892-2,0,IN,G06N,gby60ol0g4jd,19559.0,2015/5/22
1059991,10380498,5708796-2,0,IN,G06N,gby60ol0g4jd,19559.0,2015/5/22
1059992,10380498,8751618-3,0,IN,G06N,gby60ol0g4jd,19559.0,2015/5/22
14118285,9684868,8140364-2,0,IN,G06N,dp903o1s35c1,189347.0,2015/5/7
636817,10229361,7180648-2,0,IN,G06N,u63z8sszmcyb,189347.0,2015/6/18
636818,10229361,9936062-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/6/18
422119,10152677,10147046-3,0,IN,G06N,gby60ol0g4jd,189347.0,2015/6/18
422118,10152677,10147046-2,0,IN,G06N,gby60ol0g4jd,189347.0,2015/6/18
1323575,10474954,10057112-2,0,IN,G06N,r095q97996hj,248438.0,2015/6/29
1323576,10474954,10089334-2,0,IN,G06N,zncvm50voooh,248438.0,2015/6/29
904746,10325204,8665376-2,0,IN,G06N,gby60ol0g4jd,59098.0,2015/7/6
266469,10095979,8286074-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/7/6
266470,10095979,9043230-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/7/6
266471,10095979,9218565-1,0,IN,G06N,gby60ol0g4jd,189347.0,2015/7/6
904745,10325204,8170356-3,0,IN,G06N,gby60ol0g4jd,59098.0,2015/7/6
13650701,9514420,9287003-2,0,IN,G06N,9u8xbgru8p78,223156.0,2015/8/12
13650702,9514420,9514420-1,0,IN,G06N,gby60ol0g4jd,223156.0,2015/8/12
13650704,9514420,9514420-5,0,IN,G06N,6px9udpql3mx,223156.0,2015/8/12
13650700,9514420,8929159-2,0,IN,G06N,gby60ol0g4jd,223156.0,2015/8/12
13650703,9514420,9514420-3,0,IN,G06N,mcvt62xzud0w,223156.0,2015/8/12
584025,10210453,7219628-1,0,IN,G06N,1bqus0uyw8x5,377122.0,2015/8/17
584024,10210453,10210453-2,0,IN,G06N,24n934aekjoa,377122.0,2015/8/17
14134101,9690627,8620800-4,0,IN,G06N,gby60ol0g4jd,189347.0,2015/9/1
566878,10204307,10204307-1,0,IN,G06N,2w5mf75onn8h,233859.0,2015/9/17
1163967,10417578,9746332-5,0,IN,G06N,ro1y18ekr3rb,362161.0,2015/9/25
1163966,10417578,7516397-3,0,IN,G06N,gby60ol0g4jd,362161.0,2015/9/25
1163965,10417578,10417578-2,0,IN,G06N,sfrhwbt1xne0,362161.0,2015/9/25
13422807,9430952,9063991-2,0,IN,G06N,gby60ol0g4jd,189347.0,2015/9/28
13422809,9430952,9418566-3,0,IN,G06N,gby60ol0g4jd,189347.0,2015/9/28
13422808,9430952,9311295-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2015/9/28
13422806,9430952,6381444-4,0,IN,G06N,u3nw8bgtxuas,189347.0,2015/9/28
13837416,9582408,9582408-2,0,IN,G06N,gby60ol0g4jd,355180.0,2015/9/3
13837414,9582408,8351579-1,0,IN,G06N,6k3pgvchllz8,355180.0,2015/9/3
13837417,9582408,9582408-4,0,IN,G06N,gby60ol0g4jd,355180.0,2015/9/3
13837415,9582408,9529700-2,0,IN,G06N,gby60ol0g4jd,355180.0,2015/9/3
