DirectorID,DirectorName,openn_m5u,consc_m5u,extra_m5u,agree_m5u,neuro_m5u
33500,"Miles White",4.9791174,5.4503078,5.4316154,4.8541517,2.9695528
33525,"Bob Parkinson Jr",5.1660833,5.5699205,5.0899558,4.7094474,2.5025551
33526,"John Thompson",5.2919998,5.1329136,5.4940538,4.8097587,3.077549
33529,"D Davis",5.6226058,5.2428546,5.8697658,5.0128307,1.8804562
33539,"Art Collins Jr",5.6334782,5.6770854,5.1864161,4.9634237,2.5913162
33550,"Don Layton",4.4417787,5.3377824,4.827064,3.5923271,3.3309309
33676,"Jim Cracchiolo",4.8809562,5.5090766,5.3090215,4.5513997,3.6341062
33732,"Mackey McDonald",4.9605556,6.0933552,4.58004,4.0321183,2.8585966
33767,"Jim Blanchard",4.4508677,5.3020582,4.5617681,3.9255326,3.1593573
33782,"Bob Kelly",4.8363819,5.3790517,4.5306649,2.233752,4.449851
33783,"Peter Dolan",5.4311972,5.6922345,5.4331212,5.3752131,2.3904743
33834,"Phil Purcell III",4.6040368,5.5705738,5.3923659,4.2030745,3.3862479
33858,"David Nelms",4.7419429,5.4189825,5.0087943,4.0044403,2.9293661
33868,"Doctor Vikram Pandit",5.0070252,5.3539424,4.095993,3.7870455,2.8663414
33908,"Jamie Dimon",4.3038073,4.9990826,5.3753786,3.7769153,3.9887037
33916,"Ed Liddy",4.9200754,6.0078573,3.020246,3.3928075,5.103127
33925,"Bill Hawkins III",5.3607607,5.6275134,5.8527107,5.091166,1.9020567
33951,"Charlie Scharf",6.0465274,5.2629032,6.8591323,4.3208098,2.1305387
33958,"David Novak",4.5255566,5.4076066,4.6353216,3.7961257,3.5037711
33962,"Chad Holliday Jr",4.5560007,4.9550896,5.5341702,4.0973811,3.2597029
33970,"Jerry Grundhofer",4.5088954,5.5186167,4.9754772,3.5734694,3.2904477
33971,"Doctor Leland Brendsel",4.2876325,5.1112542,4.0784159,3.0968177,2.639482
33999,"Joel Johnson",5.1926389,5.787559,5.1221223,4.712007,4.0480762
34080,"James Gorman",4.6927443,5.3703771,5.390183,3.9633279,3.1899958
34151,"George Schaefer Jr",4.6251502,5.3485889,5.0662951,3.6210415,3.4208517
34156,"Jim Hackett",4.6272049,5.0337067,5.1460814,1.6380261,4.4547601
