,NAME,NATIONALITY_STATE_CODE,STATE_OF_RESIDENCE_CODE
965918,"HIROTA, Yoshihito",JP,JP
598744,"LECLERCQ, FranCois",FR,FR
172946,"BUDDE, Wolfram",DE,DE
1629015,"SKIDMORE, Roger, R.",US,US
1245137,"LOYD, Calvin, D.",US,US
116275,"WANG, Yuelin",CN,CN
154111,"WANG, Chunguo",CN,CN
328332,"GSCHWEITL, Ernst",AT,AT
957025,"ASAO, Kunio",JP,JP
949098,"KAKU, Yu",JP,JP
1120192,"RHEE, Seung-Chul",KR,KR
289593,"RAMPF, Florian",DE,DE
323919,"TIAN, Ruoming, Roy",**,CN
794036,"LAVIE, Richard",FR,CH
1587064,"KVASNICKA, Martin, S.",US,US
243289,"RENZ, Dieter",DE,DE
1269482,"SCAROS, Mike, G.",US,US
1730427,"WILLIAMS, Barbara, K.",US,US
1279539,"DAVIS, John, D.",US,US
159922,"HAJEK, Jaroslav",CZ,CZ
842466,"SANMA, Hiromasa",JP,JP
1063144,"KODAMA,Haruo",JP,JP
651338,"DIORAZIO, Louis, Joseph",GB,GB
216076,"ULBER, Dieter",DE,DE
1802551,"CHICCHETTI, Peter M.",US,US
1014590,"KIKUTANI, Keisuke",JP,JP
1017429,"TERADA, Shinsuke",JP,JP
1455357,"BUDKER, Vladimir, G.",US,US
1293872,"FORTIN, Marc, A.",CA,CA
27733,"MOTTRAM, Patricia, Lesley",AU,AU
1033191,"MAJIMA, Amane",JP,JP
652785,"JEWES, Philip",GB,GB
665750,"PALMER, Norman",GB,GB
922881,"ISHIHARA, Yushichi",JP,JP
1267277,"PADMAPRIYA, Abeysinghe",LK,US
1484092,"RODNEY, Balhorn",US,US
191139,"VON ROHRSCHEIDT, Friedrich",DE,US
1464078,"SHANK, Peter, J.",US,US
388196,"WHITE, David John",GB,GB
984236,"OMATA, Haruhiko",JP,JP
1625924,"LEE, Sangdo",KR,CN
949205,"YOSHIMI, Fuminobu",JP,JP
852021,"AIDA, Kazuhiko",JP,JP
1206694,"SUNDELIN, Johan, Christian",SE,SE
1479280,"ROTHWELL, Edward, J.",US,US
202285,"GSANGER, Dieter",DE,DE
705298,"WATSON, Eric",GB,GB
1659579,"TESTA, Matthew",US,US
165097,"RUSTIGE, Hayno",DE,DE
575469,"CHARLIER, Anne",FR,FR
997615,"FUJII, So",JP,JP
1729092,"PON, Rayman",US,US
198608,"LEDWA, Ralph",DE,DE
1136596,"LEE, Youn Ho",KR,KR
1550888,"WRAY, Kevin, J",US,US
1671123,"PEREZ, Rodolfo, E.",CL,US
1429224,"CHAK, Yee",US,US
445185,"SCHMITZ, Birte",DE,DE
1260479,"BURDETT, Jay",US,US
719910,"ROTHSCHILD, Peter, R.",MX,US
930749,"TAIRA, Hideo",JP,JP
395669,"BURGHARTZ, Joachim, N.",DE,DE
1305823,"GALINIS, Deborah",US,US
1626429,"HUGG, Ethan",US,US
1189125,"ZHELTYAKOV, Andrei Yurievich",RU,RU
1162019,"GERRITS, Walter Jan Jozef",NL,NL
1768135,"GREGG, Kenneth, William",US,US
855790,"NAKATSUHAMA, Yuuichi",JP,JP
446471,"DINGLER, GUnther",DE,DE
1818755,"ALVA, Jordan",US,US
1107095,"SUNWOO, John",KR,KR
1008584,"NEGISHI, Shoji",JP,JP
1053743,"MORIISHI, Kenichi",JP,JP
1146315,"MATHET, FranCois",FR,FR
737236,"KUKRETI,, Ritushree",IN,IN
1104676,"PARK, Dong-hwa",KR,KR
1402685,"CROSBY, Katherine",US,US
446371,"GUAN, Teo Sim",CN,GB
1004928,"HARA, Masao",JP,JP
628196,"POBEREZNY, Kenneth, Paul",GB,GB
1359619,"JONSSON, Marcus",SE,US
1687421,"YANG, Huar-horng",US,US
530735,"GONZALEZ PINACHO, Daniel",ES,ES
153474,"XIAO, Weiguang",CN,CN
1369019,"MICHAEL, Stephen",US,US
853479,"WATARI, Syuzi",JP,JP
565178,"BERNARD, Simon",FR,FR
180818,"BAHREN, Thomas",DE,DE
524505,"HUARTE ARRAYAGO, Nerea",ES,ES
1833174,"MAKARAVA, Natallia",BY,US
1181213,"BRITO, Anabela Ben-Simon",PT,PT
1283832,"KATZ, Thomas, J.",US,US
1005137,"TAGA, Keiko",JP,JP
923066,"SEGAWA, Yuji",JP,JP
1401450,"BARINOVA, Helena, S.",US,US
1324511,"BARNES, George, E.",US,US
1736962,"MAYER, David",US,US
875862,"HATANO, Koji",JP,JP
651699,"PAUL, Robert",NZ,GB
1578451,"EBERLEIN, David, M.",US,US
1664323,"ACHARYA, Ghanashyam",IN,US
950818,"TOMITA, Yoshirou",JP,JP
1490392,"DEPKE, Robert",US,US
1787388,"HOLLANDER, Samuel, S.",US,US
98227,"WENGER, Joel",CH,CH
380751,"SCHMIDT, Chris",AU,AU
1562953,"SCHEVACH, Matthew",US,US
1409060,"OSTIN, Richard, M.",US,US
552611,"DECHIROT, Jean-Pierre",FR,FR
729114,"WOODWARD, Nigel, George",GB,ZA
218829,"NORGAARD PEDERSEN, Ernst",DK,DK
1210575,"AXELSSON, Bygg, Rolf",SE,SE
1396287,"RUCHELMAN, Alexander, L.",US,US
630777,"VANDEVOORDE, RenE",FR,FR
349740,"ROCHOLL, Timothey",DE,DE
444152,"ZUEHLKE, GUnter",DE,DE
471580,"HAZENBERG, Jan, Geert",IE,IE
1524890,"JENNINGS, Dean, C.",US,US
948683,"NAKAJIMA, Takao",JP,JP
463898,"BROOS, Stephanie",DE,DE
784073,EATON CORPORATION,US,US
582847,"LARGERON, Christophe",FR,FR
216494,"AHRENS, JOrn",DE,DE
415640,"CAMUS, JErOme",FR,FR
1319048,"MIKOLAJCZYK, Raymond, F.",US,US
1098548,"KIM, Young-Yong",KR,KR
1009133,"TAKAHASHI, Syunya",JP,JP
865626,"YANAGIDA, Shun-ichi",JP,JP
1181717,"ION, St. Constantin",RO,RO
182751,"BOCHUM, Hansjoerg",DE,DE
1533203,"KRAMER, Brian, C.",US,US
489012,"VOLPE, Yary",IT,IT
369793,"DEEN, Philippus Antonius",NL,NL
278836,"PATZELT, Norbert",DE,DE
1299464,"MINOBE, Wayne",US,US
908905,"MARUYAMA, Masashi",JP,JP
1263436,"BURKE, Pamela",US,US
987926,"MURAKAMI, Ayumu",JP,JP
1680568,"LEUKART, Brian, Gilbert",US,US
1238040,"KAPTSEVICH, Vyacheslav Mikhailovich",SU,SU
160798,"PAVELKA, Miloslav",CZ,CZ
839198,"CAPEZZONE, Claudio",IT,IT
1510236,"GRAVISS, Kenton, A.",US,US
831549,"RAMPONI, Angelo",IT,IT
1431039,"YODER, Benjamin, W.",US,US
118851,"DENG, Haifan",CN,CN
1048127,"MURASE, Masatsugu",JP,JP
930508,"NISHINO, Yutaka",JP,JP
120485,"WU, Jason",US,US
705357,"HAJNAL, Joseph",GB,GB
1819462,"HE, Jia",CN,US
444523,"TASCHNER, Kerstin",DE,DE
35735,"TOMLINSON, Ian, M",GB,GB
763889,"BACON, Stuart Michael",ZA,ZA
1537198,"COBB, Matt, Brian",US,US
1164452,"BRUNE, Dag",NO,NO
1038614,"YAMAGISHI,Kazuhisa",JP,JP
481282,"VEDIYAPPAN, Govindsamy",US,US
808666,"BEYHAN, Niyazi, U.",US,US
1802992,"DOZEMAN, Gary L.",US,US
1484869,"BLAKELY, Lee, R., Jr.",US,US
32433,"SIMONS, Danny",AU,AU
1522810,"HOROWITZ, Roberto",US,US
1683972,"KITADA, Shinichi",JP,US
815885,"HASSID, Yaron",IL,IL
1265867,"CARSON, Dennis, A.",US,US
1367297,"BRITTON, Mark, S.",US,US
951558,"FUJIKAWA, Kiyokazu",JP,JP
831344,"DE LUCA, Giovanna",IT,IT
1621656,"CONG, Yingzi",US,US
416814,"VITINS, Peter",CH,CH
248534,"DIESSELKAMPER, Bernd",DE,DE
900629,"CHIIRO, Izumi",JP,JP
1216748,"BJUGGREN, MAns",SE,SE
1542734,"LEI, Yaohui",CN,CN
1583243,"MERTENS, Steven, P.",US,US
1116451,"KRD CO., LTD.",KR,KR
633918,"DUNN, Robert",GB,GB
1721056,"WILDER, Thomas, III.",US,US
724262,"MELOCHE, Joseph, L.",US,US
1626247,"KLADAKIS, Stephanie M.",US,US
716394,"FLUCK, IstvAnnE",HU,HU
100861,"KARAMETAXAS, Georgios",CH,CH
136017,"WU, I-Ching",CN,US
89014,"MUI, Clifford Low Bor",CA,CA
310297,"MAQUET, Nestor",BE,BE
1110887,"KIM, Seok Hwan",KR,KR
952041,"SHIOBARA, Tsuyoshi",JP,JP
1700426,"KREVER, Matthew",US,US
1634425,"TROTTER, Victor, Dale",US,US
381161,"KONING, Cornelis",NL,NL
115371,"Gao, Wen",CN,CN
1170043,"GRETLAND, Kristin Sandersen",NO,NO
117262,"ZHANG, Shuren",CN,CN
847922,"ARASHI, Norio",JP,JP
1284726,"QANDIL, Mark, M.",US,US
1215583,"BHAT, Ratan",US,SE
924037,"TATSUISHI, Tomomitsu",JP,JP
1031816,HATA Kenji,JP,JP
631602,"CHINH, Jean-Claude",FR,FR
1229006,"DAUTZENBERG, Frits, M.",US,SG
1250245,"JONES, Steven, E.",US,US
1072951,"PARK, Hee, Do",KR,KR
1354541,"KOOPMAN, James, S.",US,US
1732614,"CHIOU, Annie",US,US
977233,"OHNO, Youkichi",JP,JP
938266,"SASAGAWA, Hideaki",JP,JP
837278,"MARTINELLI, Sara",IT,IT
678705,"HARDY, Raymond",GB,GB
14304,"CAMPBELL, Roderick, Thomas",NZ,AU
1138468,"PARK, Chae Yol",KR,KR
1328321,"ALPERT, Andrew, J.",US,US
1340953,"DEMARINI, Douglas, J.",US,US
467458,"ILLMANN, Andreas",DE,DE
1414382,"SCHILP, William, H.",US,US
407231,"DUPONT, Bertrand",FR,FR
229089,"JENSEN, Poul Erik Bundgaard",DK,DK
1238440,"IVANENKO, Mikhail Mikhailovich",SU,SU
720746,"RETZSCH, Herbert, Louis",US,US
818001,"BORUKHOV, Itamar",IL,IL
544051,"KIELINEN, Jari",FI,FI
91299,"THURSTON, Ross",CA,CA
1178787,"BRYLA, Tomasz",PL,PL
1341874,"IASEMIDIS, Leonidas, D.",US,US
90175,"KROKHIN, Oleg V.",CA,CA
1288372,"WOLFFENBUTTEL, Augusta",NL,US
1681089,"NEMETH, Tamas",US,US
401497,"SEIDEL, Hendrik",DE,DE
1520038,"HUZINEC, Robert, J.",US,US
493516,"WETZEL, Gabriele",DE,DE
196593,"SCHELLHASE, Torsten",DE,DE
911744,"WATANABE, hiroshi",JP,JP
1658621,"AMEEN, Mohamad, S.",GB,SA
722502,"KING, Elizabeth",GB,GB
1683195,"CHAPPLE, Larry, Jake",US,US
629283,"BETTS, David",GB,GB
522049,"VERGARA OGANDO, GermAn",ES,ES
1765815,"CLAUSNITZER, Volker",DE,DE
1785180,"PARK, Oun Ho",KR,US
703593,"DRAKE, David, Joseph",US,US
1150966,"JENSEN, Thomas, Birger",NO,NL
250288,"JUNGST, Ernst-Werner",DE,DE
12760,"DOYLE, David",AU,AU
1091616,"AHN, Jong Eun",KR,KR
1194931,"DUBLINA, Elena Sergeevna",RU,RU
1784954,"LAM, Dominic, Man-Kit",US,CN
597928,"DROPSY, Marie-Claude",FR,FR
1487857,"FRAENKEL, Ernest",US,US
1335568,"HUGHES, Peter, Scott",US,US
1722198,"BATALIN, Maxim",UA,US
491625,"PAKER, OzgUn",TR,NL
1260421,"TOVSTJUK, Kornei, D.",UA,UA
1504051,"BEYER, Wayne, F., Jr.",US,US
1165321,"ORTEN, Birger",NO,NO
624728,"SWAN, James",GB,GB
775001,"NIEMI, Pentti, Valtteri",FI,CH
1804715,"VOSS, Joel D.",US,US
1606152,"ALTIN, Orhan",TR,US
1169852,"HAGEN, Einar, Andreas, Hustadnes",NO,NO
46347,"YAN, Zhang",CN,CN
1415761,"DESHPANDE, Milind",US,US
1501607,"ITZHAK, Oded",IL,US
1095995,"KIM, Ki Dong",KR,KR
9009,"PRENDERGAST, Gavan, James, Joseph",AU,AU
1264898,"KWAN, Henry, K.",GB,US
1350603,"SHUPING, David, T.",US,US
1780888,"LANE, Teresa",US,US
848758,"YAMADA, Tsutoo",JP,JP
639560,"ADAMS, John, Christopher",GB,GB
874723,"TORIIDA, Masahiro",JP,JP
1426931,"KAISER, Jon",US,US
457929,"STRAUCH, Martin, Jones",GB,GB
715738,"PALFALVI, GyOrgy",HU,HU
519550,"ECHEVERRIA GUISASOLA, Julio",ES,ES
130052,"TSENG, Poming",CN,CN
74330,"KREMER, Peter, C.",DE,CA
576140,"ALLIBERT, Michel",FR,FR
217258,"OPPENHEJM, Ulrich",DK,DK
762930,"ANAND, Ashish",IN,IN
1178361,"WRZOSEK, S&lstrok;awomir",PL,PL
1126330,"HEO, Chae Jeong",KR,KR
309538,"FONG, Yi-Liang",**,**
218919,"HYLDIG, Jens, Martin, HovmOller",DK,DK
398273,"KRENNING, Eric, P.",NL,NL
1198317,"TITOV, Andrey Mikhailovich",RU,RU
940643,"YONENAGA, Akira",JP,JP
430753,"NODEN, Richard",GB,GB
146262,"QIU, Yuan",CN,CN
990803,"CHIAKI, Kenzo",JP,JP
770394,"HUTTON, Howard, David, III",US,US
849341,"KOBAYASHI, Shigeki",JP,JP
1847250,"LORENTZ, Timothy",US,US
245286,"JAGER, Helmut, Friedrich",DE,DE
205505,"KUDRUS, Heiner",DE,BE
1095693,"YOOK, Jong In",KR,KR
1592734,"BIELOSKI, James",US,US
152968,"LIU, Rongfeng",CN,CN
1546174,"MADANI, Omid",US,US
1736934,"HOLLAND, John, Randolph",US,DE
1545687,"BIENIAS, Christoph",DE,DE
298892,"HASENZAHL, Steffen",DE,DE
7369,"DEGELSEGGER, Walter",AT,AT
937580,"HAYAKAWA, Haruo",JP,JP
899849,"YOSHIDA, Yukihisa",JP,JP
1166879,"TJESSEM, Kjell",NO,NO
725577,"JAZZAR, Darlene",CA,CA
1320708,"KIRWAN, John, M.",US,US
148476,"YANG, Yadong",CN,CN
1445854,"DUHON, David, J.",US,US
809134,"SEGMAN, Yosef",IL,IL
755605,"ENGEL, Benjamin, M.",IL,IL
959914,"TOKITAKA, Masaaki",JP,JP
1584503,"KOTSEROGLOU, Theofilos",US,US
167359,"KANTSCHAR, Anton",DE,DE
511777,"KOEPPEN, Hartmut",DE,US
449702,"DE JONGHE, Marc",BE,BE
1557054,"PERRY, Thao",US,US
1284003,"MEHRA, Vijay, K.",IN,US
941547,"NEGAMI, Takayuki",JP,JP
1185263,"KORENEVA, Lidia Georgievna",RU,RU
1048178,AOYAGI Satoshi,JP,JP
785889,"WATERHOUSE, Nicholas, Allan",NZ,NZ
1212392,"OHLSSON, Mathias",SE,SE
1487261,"PATEL, Milind, A.",IN,US
1414228,"DRUZHKOV, Nickolay, O.",RU,RU
1057795,NAKADE Keisuke,JP,JP
1743050,"DUFFIELD, William, E.",US,US
1839871,"YAN, Shude",CN,US
88403,"LARONDE, Frank",CA,CA
1802532,"LIDESTRI, Joseph, P.",US,US
505214,"FUENTES, Gerardo GutiErrez",ES,ES
1035195,"OUCHI, Natsuko",JP,JP
1813721,"ADAM, Kevin",US,US
957036,"SAITO, CHIHIRO",JP,JP
540988,"TYRVAINEN, Marko",FI,FI
497199,"PRADEAU, Philippe",FR,FR
463623,"ROZE, Jean-Christophe",FR,FR
74034,"BEAULIEU, Pierre Louis",CA,CA
1669651,"RODRIGUEZ, Gerald, A.",CA,US
19620,"SKOURTIS, Christos",AU,AU
1137554,"SEO, Munyang",KR,KR
1332691,"O-YANG, Hsiang",CN,US
1702092,"KRUSZKA, Kenneth, Donald",US,US
555741,"SPITZ, Erich",FR,FR
989463,"NOHARA, Manabu",JP,JP
1360773,"SACHDEV, Vineet",US,US
1681068,"CLARY, Gregory A.",US,US
1422511,"KULKARNI, Bheemashankar, A.",IN,US
1434936,"HASSELBLATT, Markus",DE,US
513072,"GRADIT, Pierre",FR,FR
87908,"FIELDING, Timothy S.",CA,CA
1387890,"PEARSE, Stephen, C.",US,US
1671675,"PAINTER, Jennifer",US,US
561172,"PRADIER, FranCois",FR,FR
1301578,"BRAYER, Randall, Raymond",US,US
1272506,"CAVENEE, Webster, K.",US,US
1379662,"STANLEY, J., Steven",**,US
1373516,"EMERLING, Brooke, M.",US,US
874256,"HARARA, Mitsuhiko",JP,JP
27091,"MCCAW, Benjamin, John",AU,AU
690609,"KORN, Michael, Jonathan",GB,GB
1798176,"FANE DE SALIS, Rupert, Stephen",GB,US
1702572,"NORRIS, Douglas, D.",US,US
1743471,"KOSTUCH, David",US,US
549643,"MANTYLA, Jukka",FI,FI
1173868,"STEPHENSON, Lawrence",GB,NZ
1053945,"NAGAMORI, Akira",JP,JP
261250,"DORFLE, Michael",DE,DE
1427422,"WENSEL, Dan, L",US,US
1580347,"MUKHERJEE, Pritish",IN,US
1695272,"BRANDT, Robert, Scott",US,US
782693,"KESWARPU, Payal",IN,IN
393656,"SOUS, Christoph",NL,DE
354048,"DEISS, Olga",DE,DE
599654,GUSSREGEN Stefan,DE,DE
913807,"TAKASHIMA, Akihiko",JP,JP
7596,"DROFENIK, Dietmar",AT,AT
860010,"KINTAKA, Yuichi",JP,JP
1276030,"AGAPIOU, Agapios, Kyriacos",US,US
1299317,"PIRKL, Keith, A.",US,US
201733,"NOLTING, Gerhard",DE,DE
1043373,"MATSUDA, Yoshimasa",JP,JP
213151,"KOTSCHAU, Immo",DE,DE
282744,"JAMES, Barrie, Sydney",GB,GB
990994,"SEKIGUCHI, Naoto",JP,JP
671718,"GARDNER, Andrew, Martin",GB,GB
782329,"MOREIRA MENESES FRAGA, Sara Margarida",PT,PT
58281,"PHILIPPOV, Vadim Vladimirovich",BY,BY
1495782,"LOOSE, Timothy, C.",US,US
1748110,"LEMUS, Juan, C.",SV,US
226738,"HANSEN, Jon, Ulrich",DK,DK
401504,"VENZAL, Simon-Didier",FR,FR
753003,"SCHLOMKA, Jens-peter",DE,DE
348975,"BRIERLEY, David",GB,GB
1551737,"HATTLER, Brack G.",US,US
761648,"BOTCHKAREVA, Natalia",RU,US
925294,"FEBRIANTO, Hendra",ID,ID
1761207,"LIHWA, John S.",US,US
1569991,"KULESZ, James, J.",US,US
676616,"BIBBY, Christopher",GB,GB
1701987,"GALECKI, Steven M.",US,US
175003,"GUTOEHRLEIN, Bernd",DE,DE
1365413,"POLI, Mark, A.",US,US
1745475,"BLACK, Michael, K.",US,US
879375,"HIRANO, Yoshiaki",JP,JP
1812235,"GEORGE, Jay Douglas",US,US
1659653,"ROY, Jeffrey, A.",US,US
123388,"FAN, Xiaoan",CN,CN
1489059,"NGUYEN, Luong",US,US
365345,"MATEOS QUEIRUGA, Daniel",ES,ES
1634823,"CIMA, Michael, F.",US,US
1298411,"CHATTERJEE, Subroto",US,US
1593326,"VELAZQUEZ VARGAS, Luis, Gilberto",MX,US
1031742,SUZUKI Kunio,JP,JP
786588,"KOLLE, Friedrich August Hermann",DE,BR
1038222,"YAGI, Shigeru",JP,JP
1317075,"MORRIS, James, E., Jr.",US,US
614821,"DYER, Martyn, Robert",GB,GB
1418802,"SHIN, Youngsook",KR,US
1271355,"CHEN, Edward, L.",**,US
967588,"UCHINO, Satoshi",JP,JP
194722,"WAGNER, Jean",DE,DE
570385,"SCHELCHER, FranCois",FR,FR
1410899,"BLAHA, Derek, M.",US,US
1133731,"JANG, IK Soon",KR,KR
42597,"SHTAK, Dmitry",RU,RU
1765604,"HOTALING, Donald",US,US
416060,"MARGADANT, Felix",CH,CH
1273790,"COUDERT, Tracy",US,US
30049,"WALLACE, Gillian, Leslie",AU,AU
5322,"GRILLITSCH, Gerhard",AT,AT
1761814,"WILTSE, Garry, R.",US,US
1076107,"PARK, Ham-Kyu",KR,KR
1652378,"BODNER, Jason",US,US
727749,"HENRIKSEN, Oskar, Arne",NO,NO
1346302,"CLARK, Edwin, A.",US,US
113353,"DAI, Jing zhi",CN,CN
892471,"ONISHI, Jiro",JP,JP
1628823,"PANASIK, Carl, M.",US,US
315920,"HERRING, Christopher, Taylor",GB,GB
831081,"OGMUNDSSON, Olafur",IS,IS
1738172,"DUGAN, Michael, K.",US,US
601628,"PLOS, GrEgory",JP,JP
205267,"HAUBMANN, Michael, B.",AT,AT
151842,"DA, Jian",CN,CN
1307657,"EGBERT, Mark, A.",US,US
849224,"TANAKA, Akihiro",JP,JP
905802,"MATSUI, Nobuki",JP,JP
134130,"WEI, Qing",CN,CN
187331,"HADT, Alexander",DE,DE
329077,"DAY, Lynn",US,US
281821,"WIEBE, Ulrich",DE,DE
1567726,"GRECO, Christopher, M.",US,US
395493,"ZIEGLER, Guenter",AT,AT
346204,"STORATH, Joachim",DE,DE
1159908,"SMITS, Jan J.",NL,NL
415092,"EISENBERGER, Dieter",DE,DE
1204867,"WESTERHOLM, Ville",FI,FI
173074,"NEUMEISTER, Jochen",DE,DE
215750,"KALLEDER, Axel",DE,DE
914018,"SENGA, Emi",JP,JP
811763,"BERMAN, Dina",IL,IL
363906,"MUNSTER, Uwe",DE,DE
744586,"DREW, Julian",AU,AU
1702762,"SHEN, Ruichao",CN,US
693313,"WRATHALL, Kevin",GB,GB
1554787,"PULLELA, Rajasekhar",IN,US
920650,"MATSUYAMA, Kouzou",JP,JP
1849642,"MILLER, Nathan D.",US,US
165830,"GROS, Norbert",DE,DE
1471756,"FRIEDMAN, Marc, D.",US,US
753813,"SACRANIE, Sajeed",ZA,ZA
790525,"GLADSHTEIN, Reuven",IL,IL
507745,"SOHM, Stefan",AT,AT
250535,"HARMS, Uwe",DE,ZA
1796760,"BOUR, David, P.",US,US
1808607,"ORDO, Attila, Joseph",US,US
1373643,"HARSTEL, Ken",US,US
1067079,"Ado, Kazuyoshi",JP,JP
1581728,"LELETI, Manmohan, Reddy",IN,US
113029,"ZHANG, Ruixiang",CN,CN
736814,"MERCIER, Guy",FR,FR
1062111,"HOJO, Koji",JP,JP
1597030,"BANIK, Gregory M.",US,US
33625,"MCCANN, Michael, John",GB,US
1425944,"COOPER, Ronald, Chadwick",US,US
48804,"VOS, Rita",BE,BE
832209,"BROGI, Piero",IT,IT
147424,"DENG, Xiangling",CN,CN
1721503,"HEATON, Kurtis G.",US,US
67599,"AQUILINA, Anthony, George",CA,CA
1393013,"SCHMELZER, Winfried",DE,DE
1664841,"ARGENTA, Louis",US,US
1705670,"CHIEN, Mingwei",CA,CA
762605,"BOERSMA, Joldert, M.",NL,NL
914855,"SAWAI, Yasuhiro",JP,JP
1578823,"STANARD, William",US,US
933701,"UEKI, Takatoshi",JP,JP
1796497,"DORSEY, Jack",US,US
1077956,"KIM, Byung-uk",KR,KR
1357233,"BALL, Scott",US,US
865356,"FUKUDA, Kenichi",JP,JP
807571,"YAFFE, Aaharon",IL,IL
188122,"FORKMANN, Gert",DE,DE
1701479,"LAI, Jiann-Shiun",--,--
1303167,"BOND, James, D.",US,US
1001536,"TAKAI, Tetsuo",JP,JP
1770099,"KRISHNAN, Balamurugan",IN,US
564693,"DELTOUR, AndrE",FR,FR
84736,"WATSON, Bradley, Eugene",CA,CA
513533,"CHABAUT, Sebastian",FR,CH
1057407,"OKAMOTO, Kazumoto",JP,JP
1013425,"MITO, Masaki",JP,JP
1668027,"HERFERT, Ken",US,US
84177,"HOULE, Jean-Francois (JF)",CA,CA
578888,"FONTECAVE, Marc",FR,FR
921046,"TANABE, Katsutoshi",JP,JP
175496,"BORK, Peter",DE,DE
447236,"KONTNER, Dennis",DE,DE
1587446,"OEN, Josh",US,US
918026,"OKUYAMA, Takashi",JP,JP
1765197,"LOPATIN, Sergey D.",BY,US
1132181,"KIM, Hyoung-Choul",KR,KR
460695,"SORGEL, Sebastian",DE,DE
400205,"DEGENSTEIN, Thomas",DE,DE
881511,"KITAYAMA, Yoshifumi",JP,JP
434765,"MLECZKO, Norman",DE,DE
1196703,"NOSOV, Dmitry Nikolaevich",RU,RU
1361923,"ALBONE, Earl",US,US
702646,"TEALL, Martin Richard",GB,GB
287476,"SANDERSON, Alastair, Richard",GB,GB
923734,"MORITA, Tomoyuki",JP,JP
1633744,"LABROUSSE, Louis",FR,FR
1784217,"ELWOOD, David D.",US,US
1094698,"KWON, Min Chang",KR,KR
1394793,"LI, Liang-shi",CN,US
1047166,ABIKO Rikiya,JP,JP
505863,"RIGLING, Tobias",DE,DE
1166319,"NAESJE, Kjetil",NO,NO
1344113,"RIGGS, Jennifer, A.",US,US
772708,"ARNAL, Sonsoles",VE,VE
1628166,"STUBLE, Justin",US,US
1243633,"SHCHEPOTIN, Evgeniy Igorevych",UA,UA
323115,"KLIEWE, GUnter",DE,DE
1215170,"CARLSSON, Lennarth",SE,SE
423060,"ANDREEVA, Daria",RU,DE
347878,"MAHIEU, Frans",NL,US
506937,"KUNER, Stefan",DE,DE
382474,"DIRIX, Yvo",CH,CH
865762,"MATSUBARA, Kouichi",JP,JP
1063469,"OTSUKA, Yuki",JP,JP
1686263,"GRUDZIEN-NOGALSKA, Ewa, M.",PL,US
1569779,"EKBERG, Christopher A.",US,US
187750,"WEGMANN, Bernhard",DE,DE
1178138,"KOTLINSKA, Ewa",PL,PL
1384082,"FOLLANSBEE, David",US,US
1784259,"KINDT, John, C.",US,US
1053427,"MAKITA, Fumiko",JP,JP
328477,"HARDERS, Walter",DE,DE
1122696,"MOON, Pyong Gon",KR,KR
241609,"MEINHOLD, Henner",DE,DE
320152,"SCHULMEISTER, Peter",DE,DE
423497,"MORETON, John",IE,IE
268109,"LIN, Chun-Cheng",--,US
7088,"DOLISCHKA, Andrea",AT,AT
97396,"FRECH, Wolfgang",DE,CH
604640,"PASSON, Alain",FR,FR
1368710,"SPENCER, Mark, J.",US,US
1607239,"BRONS, Cornelius",US,US
211202,"NEHRING, Harald",DE,DE
874486,"OISHI, Kazuhiro",JP,JP
1203145,"CHRISTENSSON, Lars",SE,SE
477545,"RUHM, Kurt",LI,LI
1127131,"LIM, Jin-hyung",KR,KR
283578,"BECK, Wolfgang",DE,CH
1112898,"OH, Jung-Bae",KR,KR
1311779,"FRANGESH, Thomas, P.",US,US
89818,"VAN DRUNEN LITTEL-VAN DEN HURK, Sylvia",CA,CA
127433,"LEI, Xiaolin",CN,CN
1655676,"PARDEE, Joel, D.",US,US
976732,"MIKI, Shigehito",JP,JP
185206,"SIMON, Marion",DE,DE
655344,"HUSBANDS, Stephen, McKenzie",GB,GB
543975,"SOLJAMO, Kari",FI,FI
1743534,"WALNUT, Frederick P.",US,US
1593248,"BOURBEAU, Matthew P.",US,US
216023,"ZORENKOV, Dimitri",DE,DE
515336,"STEPHENSON, Christian",GB,GB
805419,"GLICK, Amir",IL,IL
688094,"PARDOE, Andrew",GB,GB
1146406,"FALKEISEN, Paul, Edward",NL,NL
848452,"KONDO, Mamoru",JP,JP
640439,"HOWELL, Mark, Leighton",GB,GB
188500,"LOSEHAND, Helmut",DE,DE
1610105,"SIMONATO, Enrico",IT,IT
514738,"NOEL, Henri",FR,FR
1484616,"FRECHETTE, Robert",US,US
814963,"LIM, Kiah, Meng",SG,SG
1621864,"MINAR, Christopher, D.",US,US
1561127,"WALL, Wayne",US,US
181888,"HENNING, Heiko",DE,DE
1671397,"JEFFERSON, Bradley C.",US,US
318425,"YANG, Qiwei",CH,CH
412627,"PILGRIM, Axel",DE,DE
1596094,"MOTYL, Jim",US,US
1560111,"LAL, Ratnesh",IN,US
1388079,"BARRON, Thomas",DE,DE
731981,"STAN, Gheorge",NL,FR
1295882,"BRADY, Kenneth, Dale",US,US
661498,"BURTON, Colin, Michael",GB,GB
1512213,"FRANGINEAS, George, Jr.",US,US
330602,"HAGEN-MANN, Kerstin",DE,DE
1134713,"SEO, Yu-Jin",KR,KR
1723020,"MEEKS, Lucas, JM",NL,NL
145927,"LI, Jinmin",CN,CN
672964,"WEBB, Earl, D.",US,US
