,NAME,NATIONALITY_STATE_CODE,STATE_OF_RESIDENCE_CODE
103609,"KOCHER, Christoph",CH,CH
215490,"MALITOURNE, Jerome",FR,FR
48960,"DELECLUSE, Christophe",BE,BE
1010721,"TAGUCHI, Tooru",JP,JP
1757314,"MAST, Luke A.",US,US
1409627,"ROBBINS, Christiane",US,US
1560843,"KIM, Darrick S.H.L.",US,US
956957,"MIZOGUCHI, Norihide",JP,JP
1004138,"MORITA, Kazuku",JP,JP
903206,"AKITA, Jun",JP,JP
560557,"PEUBE, Jean, Laurent",FR,FR
1213322,"PETTERSSON, Mats, Petter",SE,SE
345896,"LUDESCHER, Harald",DE,DE
766049,"GIANCASPRO, Carlo",IT,IT
385603,"MAIER, Albert",DE,DE
92690,"FOLEY, Martin",CA,CA
525859,"RODRIGUEZ TIRADO, Luis Alfredo",ES,ES
1605546,"BOUCHER, Raymond, E., Jr.",US,US
1095075,"YAROVENKO, Vladimir Nikolaevich",RU,RU
430757,"HARRISON, David",IE,IE
1442489,"WANG, Jin",CA,CA
1216433,"EERO, Erma",FI,SE
1047978,"WADA, Masateru",JP,JP
309467,"WENSBO, David",SE,SE
722178,"RUSSEL-SMITH, Kevan, Vaughan",ZA,ZA
1125017,"PYO, Young-Hee",KR,KR
1619359,"LI, Dean",US,US
664632,"FISHER-JEFFES, Timothy",ZA,GB
1521083,"YE, Zhengmao",CN,US
1689860,"ELUMALAI, Chandran",IN,US
1159693,"WINKLER, Marcus",BE,BE
204746,"ABRAHAM, Frank",DE,DE
392198,"BOCCOLARI, Stefano",IT,IT
91825,"GUlMOND, Sylvain",CA,CA
1538308,"MCKENNA, James, Michael",US,US
752713,"RIGAL, Thomas",FR,FR
1176295,"WEISS, Bevan",NZ,AU
1688888,"JOHNSON, Matthew Scott",US,US
750779,"ILLADO, Jordi Bosch",ES,ES
1283989,"SMITH, Alan, E.",GB,US
433833,"MUSIO, Stefana",IT,IT
1133278,"LEE, Minki",KR,KR
1060799,MITSUSHIMA Toru,JP,JP
1566064,"MEHTA, Rajeshwari",US,US
219437,"HANSEN, Lars",DK,DK
567389,"SAMAHA, Victor",FR,FR
635575,"KOTLYAR, Sofia",IL,IL
1659255,"SHULTZ, Eric, I.",US,US
1297465,"EIFFLER, Juergen",DE,DE
1599731,"SRINIVASAN, Krishna",US,US
1014614,"KAWAGUCHI, Takahiro",US,US
1136375,"LEE, Dong Cheon",KR,KR
1595107,"SABATINO, Gregory, L.",US,US
742403,"STEFANINI, Cesare",IT,IT
516314,"BOSCH ROVIRA, Anna",ES,ES
640227,"BARNWELL, David",GB,GB
1336657,"DiPIETRO, Donald",US,US
1640360,"KNAPP, Tracey, E.",US,GE
895421,"KURIYAMA, Toshihiro",JP,JP
946683,"ISHIKAWARA, Mitsuo",JP,JP
362751,"TSUBOTA, Jun",JP,JP
1181102,"ROE, Melanie, J.",US,US
116358,"TSAI, Chihyi",CN,CN
692016,"HOBBS, Matthew",GB,GB
982803,"SOGA, Shinji",JP,JP
1590438,"ORCUTT, Steven",US,US
2068,"MODERL, Ulrich",AT,AT
768191,"VAN DEN WOLLENBERG, Diana, Johanna, Maria",NL,NL
788007,"GARDIOLA, Arvin San Jose",PH,NZ
1281802,"XU, Tao",CN,US
294923,"HERTEL, Markus",DE,DE
1784075,"GEIGER, Kenneth, L.",US,US
1798725,"ICHETOVKIN, Marina",US,US
1235150,"SEVER, Peter",SI,SI
1020335,HIROMOTO Yasuo,JP,JP
997076,"SUZUKI, Ryozo",JP,JP
494913,"VIJAYAKUMAR, K., Srinivasan",IN,IN
623054,"PULITO, Virginia, Lee",US,US
389930,"WIFLING, Ronald",DE,DE
744931,"CERNICKA, Jozef",SK,SK
404947,"SERRANO MOLINA, Jose Antonio",ES,ES
994109,"KANO, Kenichiro",JP,JP
629597,"HOWARTH, Colin",GB,GB
739556,"ESPOSITO, Annamaria",IT,IT
1111412,"SHIM, Hyun-Joo",KR,KR
55200,"BARRETO, Gilson",BR,BR
745493,"STROMME, Maria",NO,SE
954270,"MIYABE, Toshimasa",JP,JP
947837,"KUSUMA, Takehumi",JP,JP
1006162,"NISHIZUKA, Michinari",JP,JP
1483273,"LARU, Kathleen, M.",US,US
259558,"THOM, Rudolf",DE,DE
797182,"ZINONI, Carl",IT,FR
1383034,"KRUPINSKI, Kenneth, C.",US,US
1491548,"STURMAN, Bruce, D.",US,US
1855037,"THINAKARAN, Rajavelu",IN,IN
64725,"KRGOVICH, Milan",CA,CA
1227775,"TAN, Yam Sia, Jeffrey",SG,SG
220867,"BJERRUM, Niels",DK,DK
1116084,"CHANG, Jeong HO",KR,KR
1320303,"RECIPON, Herve",FR,FR
1145739,"WITJAKSONO, Gunawan",ID,ID
22948,"IBRAHIM, Nabeel",AU,AU
863734,"ISHIGURO, Yoichi",JP,JP
1705174,"WEBEL, Stephen, K.",US,US
1125228,"LIM, Namsoo",KR,KR
1304807,"HIGGINS, John, A.",US,US
15729,"COOPER, David",AU,AU
630996,"BROWN, Richard, Andrew",GB,GB
1580592,"LUDWIG, Scott",US,US
68586,"TROSSMAN, Andrew",CA,CA
622882,"BAILEY, Richard, Clive",GB,GB
1310505,"BROOME, Barry, G.",US,US
381783,"RUCKWIED, Jens Ruckwied",DE,DE
861900,"NAKAMURA, Ayako",JP,JP
647070,"EL-SHEIKH, Ahmed",EG,GB
1299193,"URE, Michael, J.",**,US
1300381,"GUIRAKHOO, Farshad",AT,US
1448220,"KIKUCHI, Kan",JP,US
