,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile,decile_1stGMI_Sara
38,IN,A61M,0.0,0.0,0.0,0.0,0.0092595833333333,0.0,0.0,0.0,0.0,0.0092595833333333,1,24,9,9.0
39,IN,A61Q,0.0,0.0,0.0,0.0,0.0178572290809327,0.0,0.0,0.0,0.0,0.0178572290809327,1,12,9,9.0
40,IN,C08J,0.0,0.0,0.0,0.0,0.0357148129374999,0.0,0.0,0.0,0.0,0.0357148129374999,1,8,2,2.0
41,IN,H04M,3.0,0.0428571428571428,0.0428571428571428,0.0,0.0181816972528403,2.0,0.0285714285714285,0.0321428571428571,0.0,0.0150229682033569,2,71,1,1.0
42,IN,B64D,1.0,0.1428571428571428,0.1428571428571428,0.0,0.138888875,1.0,0.1428571428571428,0.1428571428571428,0.0,0.138888875,1,8,4,4.0
43,IN,H04N,0.0,0.0,0.0,0.0,0.0019011406844106,0.0,0.0,0.0,0.0,0.0019011406844106,4,126,1,1.0
44,IN,G05B,1.0,0.0333333333333333,0.0333333333333333,0.0,0.0434782598906615,1.0,0.0333333333333333,0.0333333333333333,0.0,0.0434782598906615,1,31,1,1.0
45,IN,H01L,0.0,0.0,0.0,0.0,0.0094343784174647,0.0,0.0,0.0,0.0,0.0094343784174647,3,38,1,1.0
46,IN,H01F,1.0,0.3333333333333333,0.3333333333333333,0.0,0.25,1.0,0.3333333333333333,0.3333333333333333,0.0,0.25,1,4,7,7.0
47,IN,D06F,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1,3,1,1.0
48,IN,G01D,2.0,0.1666666666666666,0.1666666666666666,0.0,0.0877192607196756,2.0,0.1666666666666666,0.1666666666666666,0.0,0.0877192607196756,1,13,8,8.0
49,IN,G03F,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1.0
50,IN,F16L,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,5,5.0
51,IN,G06K,4.0,0.0465116279069767,0.0501124198798617,0.0006019151846785,0.0138597433849224,3.6,0.041860465116279,0.0471223866572703,0.0006019151846785,0.0131280879396915,5,87,2,2.0
52,IN,F16K,0.0,0.0,0.0,0.0,0.0270274989336911,0.0,0.0,0.0,0.0,0.0270274989336911,1,9,2,2.0
53,IN,F25B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,1,1.0
54,IN,F04B,0.0,0.0,0.0,0.0,0.0909095317312017,0.0,0.0,0.0,0.0,0.0909095317312017,1,3,2,2.0
55,IN,H04S,0.0,0.0,0.0,0.0,0.0476194566635519,0.0,0.0,0.0,0.0,0.0476194566635519,1,5,9,9.0
56,IN,H02H,0.0,0.0,0.0,0.0,0.0208334933333333,0.0,0.0,0.0,0.0,0.0208334933333333,1,12,6,6.0
57,IN,C09B,0.0,0.0,0.0,0.0,0.0384616345069349,0.0,0.0,0.0,0.0,0.0384616345069349,1,6,2,2.0
58,IN,H04L,1.0625,0.0016705974842767,0.0019124129604672,4.565319665230526e-06,0.0011216010278717,0.8125,0.0012775157232704,0.0015594051192518,4.101049868766404e-06,0.0009324585619884,32,637,1,1.0
59,IN,H01S,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,3,3.0
60,IN,C10G,0.0,0.0,0.0,0.0,0.0053475935828876,0.0,0.0,0.0,0.0,0.0053475935828876,1,39,1,1.0
61,IN,F23R,0.0,0.0,0.0,0.0,0.0270274989336911,0.0,0.0,0.0,0.0,0.0270274989336911,1,9,1,1.0
62,IN,G02B,0.0,0.0,0.0,0.0,0.0285717618122422,0.0,0.0,0.0,0.0,0.0285717618122422,1,11,1,1.0
63,IN,H05K,0.0,0.0,0.0,0.0,0.0212766916633269,0.0,0.0,0.0,0.0,0.0212766916633269,1,11,1,1.0
64,IN,F02D,0.0,0.0,0.0,0.0,0.0769235460362902,0.0,0.0,0.0,0.0,0.0769235460362902,1,5,3,3.0
65,IN,B60R,0.0,0.0,0.0,0.0,0.0357142857142932,0.0,0.0,0.0,0.0,0.0357142857142932,1,8,2,2.0
66,IN,G06F,1.7073170731707317,0.0014756413769842,0.0024331798179101,1.3262771047764044e-05,0.0006990355686249,1.5365853658536586,0.0013280772392857,0.0022065324781254,1.1712269785085218e-05,0.0006441257339066,82,1158,1,1.0
67,IN,H02M,0.0,0.0,0.0,0.0,0.0105263166235438,0.0,0.0,0.0,0.0,0.0105263166235438,1,23,2,2.0
68,IN,C11D,0.0,0.0,0.0,0.0,0.0227276859980016,0.0,0.0,0.0,0.0,0.0227276859980016,1,12,7,7.0
69,IN,F16D,0.0,0.0,0.0,0.0,0.0833337807257599,0.0,0.0,0.0,0.0,0.0833337807257599,1,4,7,7.0
70,IN,G09G,0.0,0.0,0.0,0.0,0.0384620271211356,0.0,0.0,0.0,0.0,0.0384620271211356,1,10,3,3.0
71,IN,A01N,0.0,0.0,0.0,0.0,0.0045871559633027,0.0,0.0,0.0,0.0,0.0045871559633027,1,46,2,2.0
72,IN,B01D,0.0,0.0,0.0,0.0,0.0106382979056181,0.0,0.0,0.0,0.0,0.0106382979056181,1,26,1,1.0
73,IN,B21D,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,4,4.0
74,IN,H04B,0.0,0.0,0.0,0.0,0.0047846889952153,0.0,0.0,0.0,0.0,0.0047846889952153,3,53,1,1.0
75,IN,B29C,0.0,0.0,0.0,0.0,0.0085470085475751,0.0,0.0,0.0,0.0,0.0085470085475751,1,25,9,9.0
76,IN,E21B,0.0,0.0,0.0,0.0,0.0526325371094558,0.0,0.0,0.0,0.0,0.0526325371094558,1,11,1,1.0
77,IN,H03L,0.0,0.0,0.0,0.0,0.0119048641658879,0.0,0.0,0.0,0.0,0.0119048641658879,1,20,3,3.0
78,IN,H05B,0.0,0.0,0.0,0.0,0.0138889374999999,0.0,0.0,0.0,0.0,0.0138889374999999,1,16,10,10.0
79,IN,B60W,0.0,0.0,0.0,0.0,0.0476194566635519,0.0,0.0,0.0,0.0,0.0476194566635519,1,5,1,1.0
80,IN,G11B,0.0,0.0,0.0,0.0,0.0384620271211356,0.0,0.0,0.0,0.0,0.0384620271211356,2,10,1,1.0
81,IN,B81B,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,4,4.0
82,IN,F15B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,2,2.0
83,IN,F16H,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1,4,2,2.0
84,IN,C04B,1.0,0.0666666666666666,0.0666666666666666,0.0,0.065789453125,1.0,0.0666666666666666,0.0666666666666666,0.0,0.065789453125,1,16,6,6.0
85,IN,F04C,0.0,0.0,0.0,0.0,0.0909095317312017,0.0,0.0,0.0,0.0,0.0909095317312017,1,3,2,2.0
86,IN,G05F,0.0,0.0,0.0,0.0,0.0175438596491228,0.0,0.0,0.0,0.0,0.0175438596491228,1,17,1,1.0
87,IN,C07H,0.0,0.0,0.0,0.0,0.0062500005001026,0.0,0.0,0.0,0.0,0.0062500005001026,1,36,1,1.0
88,IN,G01N,0.0,0.0,0.0,0.0,0.0035087811219732,0.0,0.0,0.0,0.0,0.0035087811219732,3,69,1,1.0
89,IN,C09K,0.0,0.0,0.0,0.0,0.0070924183951243,0.0,0.0,0.0,0.0,0.0070924183951243,1,33,1,1.0
90,IN,H03F,0.0,0.0,0.0,0.0,0.0136986301369864,0.0,0.0,0.0,0.0,0.0136986301369864,1,17,3,3.0
91,IN,A61K,2.0,0.0082987551867219,0.0082987551867219,0.0002247579529737,0.0046179006288924,1.6666666666666667,0.0069156293222683,0.0069156293222683,0.0002247579529737,0.0034018097468806,6,242,1,1.0
92,IN,B05B,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1.0
93,IN,C12P,4.0,0.0833333333333333,0.0833333333333333,0.0,0.0210970456303589,4.0,0.0833333333333333,0.0833333333333333,0.0,0.0210970456303589,1,49,7,7.0
94,IN,G01V,0.0,0.0,0.0,0.0,0.0833337807257599,0.0,0.0,0.0,0.0,0.0833337807257599,1,4,1,1.0
95,IN,F02N,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1.0
96,IN,F25D,0.0,0.0,0.0,0.0,0.0212766916633269,0.0,0.0,0.0,0.0,0.0212766916633269,1,11,2,2.0
97,IN,A63B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,7,7.0
98,IN,C07K,0.0,0.0,0.0,0.0,0.0061728395205135,0.0,0.0,0.0,0.0,0.0061728395205135,2,38,1,1.0
99,IN,G06Q,2.0,0.0071428571428571,0.0101686345036098,0.0,0.0014610679454526,2.0,0.0071428571428571,0.0101686345036098,0.0,0.0014610679454526,11,281,1,1.0
100,IN,C01B,0.0,0.0,0.0,0.0,0.0384620271211356,0.0,0.0,0.0,0.0,0.0384620271211356,1,10,1,1.0
101,IN,A61L,0.0,0.0,0.0,0.0,0.0555558538171733,0.0,0.0,0.0,0.0,0.0555558538171733,1,6,3,3.0
102,IN,G10L,0.0,0.0,0.0,0.0,0.0109891278977282,0.0,0.0,0.0,0.0,0.0109891278977282,2,23,1,1.0
103,IN,B24D,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,4,4.0
104,IN,F02B,0.0,0.0,0.0,0.0,0.0909095317312017,0.0,0.0,0.0,0.0,0.0909095317312017,1,3,4,4.0
105,IN,B60N,1.0,0.25,0.25,0.0,0.3846146809455646,1.0,0.25,0.25,0.0,0.3846146809455646,1,5,4,4.0
106,IN,C08L,0.0,0.0,0.0,0.0,0.0238098433755428,0.0,0.0,0.0,0.0,0.0238098433755428,1,14,1,1.0
107,IN,H01M,0.0,0.0,0.0,0.0,0.0370375953585275,0.0,0.0,0.0,0.0,0.0370375953585275,3,11,1,1.0
108,IN,G01S,0.0,0.0,0.0,0.0,0.0200001864335276,0.0,0.0,0.0,0.0,0.0200001864335276,1,14,1,1.0
109,IN,B01J,0.0,0.0,0.0,0.0,0.0025252525252525,0.0,0.0,0.0,0.0,0.0025252525252525,1,80,2,2.0
110,IN,H02K,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,2,6,1,1.0
111,IN,C12Q,0.0,0.0,0.0,0.0,0.0136989874017358,0.0,0.0,0.0,0.0,0.0136989874017358,2,17,2,2.0
112,IN,F01D,1.0,0.0217391304347826,0.0217391304347826,0.0,0.0256410256410255,1.0,0.0217391304347826,0.0217391304347826,0.0,0.0256410256410255,1,47,2,2.0
113,IN,C23C,0.0,0.0,0.0,0.0,0.0256413089587016,0.0,0.0,0.0,0.0,0.0256413089587016,1,11,6,6.0
114,IN,G01C,1.0,0.0476190476190476,0.0476190476190476,0.0,0.0555554892078392,1.0,0.0476190476190476,0.0476190476190476,0.0,0.0555554892078392,1,22,1,1.0
115,IN,H01B,0.0,0.0,0.0,0.0,0.0312502399999999,0.0,0.0,0.0,0.0,0.0312502399999999,1,8,9,9.0
116,IN,A47L,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0476190476190476,1,5,5,5.0
117,IN,C08K,0.0,0.0,0.0,0.0,0.0121953625708215,0.0,0.0,0.0,0.0,0.0121953625708215,1,18,9,9.0
118,IN,C07D,7.8,0.0203125,0.0673093873446492,0.0014324917237776,0.0028244570972106,7.4,0.0192708333333333,0.0669352533101294,0.0014106105536833,0.002723365291091,5,385,1,1.0
119,IN,A61B,0.0,0.0,0.0,0.0,0.0064516131952352,0.0,0.0,0.0,0.0,0.0064516131952352,2,43,1,1.0
120,IN,C09D,0.0,0.0,0.0,0.0,0.0416672259071999,0.0,0.0,0.0,0.0,0.0416672259071999,1,8,1,1.0
121,IN,G07F,2.0,0.1818181818181818,0.2227272727272727,0.0,0.0561573548381963,2.0,0.1818181818181818,0.2227272727272727,0.0,0.0561573548381963,2,12,9,9.0
122,IN,C07F,0.0,0.0,0.0,0.0,0.0053763446224796,0.0,0.0,0.0,0.0,0.0053763446224796,2,42,5,5.0
123,IN,G02F,0.0,0.0,0.0,0.0,0.0833337807257599,0.0,0.0,0.0,0.0,0.0833337807257599,1,4,5,5.0
124,IN,A61N,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1,3,1,1.0
125,IN,A01H,1.0,0.1428571428571428,0.1428571428571428,0.0,0.138888875,1.0,0.1428571428571428,0.1428571428571428,0.0,0.138888875,1,8,9,9.0
